score,time,best
459965,15836194,584718
358662,13951045,457130
523946,25772820,669194
586071,22605960,759003
512066,13398096,652146
520636,16873907,685307
427420,16208932,536860
433187,13601031,527615
600892,17522837,749219
476692,30976280,624426
432337,22935015,584718
367676,20824971,457130
522770,22944157,669194
596326,24199812,759003
500480,22147461,652146
535653,21433815,685307
409043,28013499,536860
423363,24525977,527615
607020,27457659,749219
502460,25051791,624426
433247,17944332,584718
361207,9998371,457130
540261,10715381,669194
601431,9032374,759003
513277,10982431,652146
553743,8688964,685307
415706,13432512,536860
429285,14684083,527615
624982,14476365,749219
503686,12354845,624426
457847,13968710,584718
397146,15146793,457130
545215,12407279,669194
620762,12350959,759003
521131,15041641,652146
523394,17551744,685307
431701,14832585,536860
421500,15745922,527615
613557,12763163,749219
499253,14037451,624426
