score,time,best
611211,406950,584718
611943,415777,584718
621239,477650,584718
631957,427736,584718
597598,427112,584718
501752,465569,457130
489876,530103,457130
487145,419338,457130
486416,510888,457130
509753,511677,457130
693345,410651,669194
659763,515590,669194
655987,512535,669194
679857,441531,669194
682374,493827,669194
792171,410957,759003
790415,452049,759003
750597,553410,759003
783367,454965,759003
766583,567023,759003
626409,520215,652146
647373,437632,652146
619400,508639,652146
659648,463074,652146
645453,483235,652146
664850,406633,685307
679665,464896,685307
706711,413808,685307
677472,402191,685307
693950,418340,685307
578807,394233,536860
555498,451859,536860
575738,510063,536860
592385,463791,536860
552824,576068,536860
621034,499043,527615
601877,548047,527615
619249,433833,527615
599412,475849,527615
608199,413974,527615
760426,374708,749219
739972,456682,749219
742629,434719,749219
751078,412271,749219
742667,496650,749219
676683,449089,624426
653491,549869,624426
663461,587685,624426
674849,646862,624426
661358,667614,624426
1130518,1222910,584718
1090347,1625694,584718
1138828,736661,584718
1066134,769022,584718
970633,1550362,584718
970181,1056951,457130
931229,948359,457130
920336,1122082,457130
960571,907849,457130
946565,613446,457130
1202346,1402648,669194
1173869,1467963,669194
1099754,1324995,669194
1164684,606538,669194
1228287,1996526,669194
1241126,1142081,759003
1267621,838807,759003
1338796,1211519,759003
1326323,673681,759003
1144364,876645,759003
1120376,914124,652146
1133017,1018686,652146
1187968,737801,652146
1179827,931964,652146
1252514,657027,652146
1111160,2473744,685307
1099561,1515696,685307
1186987,983020,685307
1125107,1388386,685307
1199693,1292762,685307
1056855,553653,536860
1004833,646996,536860
1051376,788528,536860
1110205,1041594,536860
1113137,1379085,536860
1145272,1205107,527615
1077057,1345748,527615
1137082,1043827,527615
1086573,1097135,527615
1081517,547574,527615
1412977,833135,749219
1448024,926032,749219
1214397,1013927,749219
1305200,1552408,749219
1368326,869240,749219
1163812,885452,624426
1028930,937272,624426
1081947,563774,624426
1102364,888430,624426
1154834,1086109,624426
619925,472803,584718
615878,496179,584718
602255,447389,584718
624698,468679,584718
622173,335544,584718
510668,461463,457130
524593,460378,457130
487693,530014,457130
494554,578854,457130
509569,368468,457130
685784,370789,669194
633467,467143,669194
696575,440335,669194
685960,425948,669194
694393,365304,669194
800858,402904,759003
799942,437360,759003
765852,393519,759003
777265,375724,759003
786049,370856,759003
623500,392051,652146
641329,357736,652146
653634,335826,652146
634584,391456,652146
627400,473009,652146
680144,494408,685307
677916,515486,685307
707413,473002,685307
668957,487487,685307
677872,437244,685307
556363,485091,536860
568411,438731,536860
573173,452966,536860
568718,470761,536860
595573,372354,536860
619484,442031,527615
602429,348928,527615
620752,573564,527615
628214,540282,527615
609042,412192,527615
741617,411936,749219
758856,460670,749219
759427,465852,749219
761029,380490,749219
750889,388177,749219
649681,516452,624426
655288,451058,624426
645864,346040,624426
661643,360931,624426
666679,394043,624426
1070926,251177,584718
1020251,65790,584718
1217285,52532,584718
1187044,127946,584718
1090560,97576,584718
1009546,74612,457130
889972,94265,457130
951390,65905,457130
890424,76451,457130
889324,222110,457130
1057983,123564,669194
1149878,152709,669194
1063163,144843,669194
1192814,124524,669194
1157251,66821,669194
1399453,95581,759003
1266326,101300,759003
1465285,70344,759003
1088973,115684,759003
1260702,77627,759003
1095145,127118,652146
1131472,170266,652146
1187200,159615,652146
1102608,101709,652146
1155706,176948,652146
1172158,88591,685307
1094415,91633,685307
1194063,144007,685307
1156616,176277,685307
1231536,150049,685307
1098664,77574,536860
994469,64270,536860
1019161,104021,536860
1034441,275955,536860
1063358,97480,536860
1019517,104561,527615
1174985,132277,527615
1129897,112130,527615
1031697,136851,527615
1051164,74833,527615
1309860,76565,749219
1192299,78466,749219
1342890,72943,749219
1348888,111083,749219
1300109,101302,749219
1189503,108528,624426
1177422,203981,624426
1091186,165718,624426
1172747,87423,624426
1259793,126450,624426
518138,4262816,584718
528780,3772643,584718
513687,3933871,584718
536138,4358225,584718
526851,3839930,584718
408244,5260518,457130
422670,3242603,457130
411380,4123447,457130
438838,3033277,457130
411578,3771877,457130
623474,3729407,669194
608630,3079833,669194
606125,5988254,669194
603934,5214800,669194
635978,2841698,669194
710001,3077211,759003
734612,2926875,759003
686103,5218222,759003
712400,4305583,759003
739256,3211261,759003
566729,4116296,652146
564368,4619909,652146
582472,2589355,652146
577692,3013297,652146
575141,3472835,652146
590739,4223780,685307
597031,5938985,685307
603953,2468058,685307
600138,4604760,685307
591095,2845049,685307
525844,1893058,536860
492358,3463416,536860
488129,5243637,536860
499884,4855601,536860
497530,3470933,536860
490135,6410303,527615
501034,2814419,527615
484969,5221200,527615
477879,4409439,527615
502593,5142619,527615
652273,4495372,749219
674160,3008481,749219
672972,3396621,749219
656797,3403301,749219
692062,4133245,749219
572629,3889681,624426
579811,3094270,624426
564615,4406667,624426
588752,3371581,624426
584668,3695241,624426
670681,5136580,584718
657539,4916696,584718
671933,4892619,584718
662221,3357121,584718
669179,4019026,584718
526701,5328151,457130
525080,3977837,457130
537956,4272588,457130
563653,3086366,457130
583191,6211477,457130
780662,4863632,669194
757939,7076454,669194
763686,3837144,669194
803342,2959371,669194
750867,3762529,669194
836233,4795264,759003
841050,3951835,759003
880003,3553607,759003
850006,3386386,759003
804712,3638125,759003
772689,5508629,652146
725185,4411749,652146
721435,6122376,652146
694621,5030230,652146
772250,4090015,652146
777973,3431263,685307
761923,5583096,685307
726076,2286573,685307
744713,4969708,685307
795840,3639866,685307
641294,4068769,536860
696332,4332696,536860
675055,2426365,536860
637526,3103957,536860
644096,4183960,536860
649043,4959405,527615
611939,3855265,527615
683658,6592378,527615
689354,8162550,527615
658818,4344920,527615
876548,6165612,749219
863389,5615306,749219
878820,4301143,749219
870248,3858595,749219
866747,3041718,749219
