score,time,best
77629,315184,53112
105454,602700,57403
103456,518929,57403
102313,553043,57403
110243,315612,57403
107170,280516,57403
109757,358332,61981
84162,488353,61981
121689,211893,61981
94769,574487,61981
123087,326803,61981
112627,218358,59625
96462,343324,59625
96383,573677,59625
91978,308108,59625
91570,466337,59625
95058,578674,45295
98526,398631,45295
112414,484423,45295
95317,458487,45295
108233,426465,45295
63892,356924,49014
52564,427234,49014
63667,722467,49014
59116,875994,49014
57681,367273,49014
71244,522567,45340
93933,410470,45340
93252,427997,45340
86057,419540,45340
85146,569785,45340
95497,453372,49659
108293,448432,49659
94689,365719,49659
70923,420303,49659
90853,471569,49659
92944,240742,52175
78346,392119,52175
106895,372043,52175
83950,599223,52175
120684,372299,52175
128278,489791,89492
111935,378343,89492
137664,467547,89492
117671,520612,89492
140010,298267,89492
32041,968024,53112
33492,1294450,53112
31437,1362045,53112
31023,1643018,53112
31767,1479377,53112
32628,1064427,57403
32613,1554017,57403
31188,772630,57403
27531,1725143,57403
31557,1205353,57403
37569,1272048,61981
38912,1189879,61981
39997,1038754,61981
41154,1130735,61981
39904,1224167,61981
37029,1445624,59625
36605,1604776,59625
35891,1627693,59625
35206,1745753,59625
37897,994288,59625
24919,1532989,45295
25517,1701478,45295
28720,2245098,45295
27208,1939552,45295
24595,2400641,45295
20760,2155552,49014
22821,1260034,49014
22809,1767484,49014
21212,2010741,49014
21870,1569964,49014
27423,1290057,45340
29444,1154748,45340
26596,1771265,45340
26466,1708136,45340
27728,1107298,45340
27213,1673164,49659
24613,1393288,49659
31191,1225550,49659
30818,1325968,49659
26630,1418740,49659
38952,843172,52175
30411,1207703,52175
31193,966707,52175
32212,1564392,52175
34342,1139951,52175
69297,1875635,89492
69837,1318188,89492
71647,1097781,89492
73589,1582529,89492
69324,1303839,89492
32556,1745460,53112
36818,1765650,53112
28520,2130506,53112
33689,1765540,53112
31362,2038502,53112
27939,2377503,57403
33817,1903695,57403
33307,1951613,57403
34041,1065273,57403
29157,1386891,57403
38145,1589607,61981
36153,1709331,61981
37178,1780093,61981
39030,1833081,61981
42292,1256329,61981
36027,1943454,59625
37892,1576407,59625
36124,2100433,59625
37026,1996885,59625
34698,1691814,59625
25631,1941061,45295
28043,2022597,45295
27221,1969063,45295
29468,1839370,45295
26752,1700940,45295
19430,2116821,49014
22608,1478238,49014
21411,2321139,49014
23554,1262679,49014
21662,1336578,49014
26185,1694103,45340
27135,1791674,45340
25639,1536391,45340
28485,1740771,45340
29104,1494827,45340
29162,1457029,49659
27599,1719348,49659
26985,1737102,49659
29759,1682861,49659
27445,1345013,49659
32311,1805093,52175
30793,1665473,52175
35228,1553786,52175
34185,1260368,52175
36445,1870519,52175
70385,1702274,89492
70345,1471182,89492
71056,1656689,89492
69868,1290141,89492
68833,1056463,89492
31790,1050192,53112
31495,1086940,53112
29091,1314649,53112
34614,1329659,53112
27922,1937934,53112
30390,916139,57403
32441,1547896,57403
31968,1069963,57403
28283,1314284,57403
30187,927633,57403
41660,1018050,61981
37245,892694,61981
38501,1535761,61981
39248,825508,61981
38077,1073126,61981
39111,837726,59625
35449,1226012,59625
36066,1137993,59625
37926,669886,59625
34319,1520070,59625
30279,803827,45295
28743,966054,45295
25218,1377843,45295
25434,1344051,45295
27078,981086,45295
19605,1236438,49014
19604,1187537,49014
22634,1219333,49014
22798,1041590,49014
21201,1118344,49014
25687,1480868,45340
25040,1683018,45340
28185,1813591,45340
30418,2034208,45340
26620,1983026,45340
26826,1505817,49659
28548,1562562,49659
27431,1148589,49659
28243,1793634,49659
30157,1117743,49659
30116,1672470,52175
35864,1281450,52175
35503,980525,52175
33569,1509560,52175
29821,1519076,52175
68159,1638586,89492
69872,1764409,89492
63507,1094540,89492
70491,1370986,89492
74331,1499653,89492
31725,2630624,53112
32668,1735397,53112
34815,2159426,53112
34222,2430600,53112
34324,1481680,53112
28638,2307857,57403
28337,1928187,57403
31838,2251396,57403
28116,2331047,57403
30005,1805126,57403
35867,2831224,61981
36395,2652210,61981
37093,1289095,61981
38258,1565992,61981
41200,1288133,61981
35836,2061950,59625
38521,1522755,59625
40226,1429060,59625
37808,1517057,59625
36023,1542804,59625
27032,1813767,45295
23822,1822090,45295
28791,1682102,45295
26332,1688857,45295
24923,1689809,45295
26157,1311875,49014
20091,1937741,49014
20874,1455783,49014
21024,2701900,49014
19419,2202412,49014
26986,1331752,45340
26272,2129362,45340
27239,1810891,45340
28096,1686256,45340
27117,2089606,45340
29579,1661714,49659
26813,2134915,49659
28562,1623190,49659
24949,2080293,49659
24724,1755466,49659
33338,1275253,52175
31337,1740671,52175
34055,1427279,52175
30444,1832447,52175
30205,943896,52175
66983,1607477,89492
69673,1336502,89492
67957,1801622,89492
70562,1355652,89492
69075,1584221,89492
